x,g(x)
-10.0,-0.6483608274590866
-9.797979797979798,-0.3915512690856913
-9.595959595959595,-0.17287352285586738
-9.393939393939394,0.030848346552811268
-9.191919191919192,0.23716088584771888
-8.98989898989899,0.46453949424635266
-8.787878787878787,0.7397351519203724
-8.585858585858587,1.113209658887887
-8.383838383838384,1.7072870052937656
-8.181818181818182,2.9402305961881314
-7.979797979797979,7.906109753232434
-7.777777777777778,-13.097284364993643
-7.575757575757576,-3.5010019755711173
-7.373737373737374,-1.9196756006783322
-7.171717171717171,-1.2309002413133983
-6.96969696969697,-0.8194883952882482
-6.767676767676768,-0.526333069383822
-6.565656565656566,-0.2902318345249502
-6.363636363636363,-0.08062507673502448
-6.161616161616162,0.12217159974626265
-5.959595959595959,0.33537769222960007
-5.757575757575758,0.5800344209023894
-5.555555555555555,0.8906580297256232
-5.353535353535354,1.339894878741182
-5.151515151515151,2.1289574836521536
-4.94949494949495,4.138190375443103
-4.747474747474747,28.489889553721195
-4.545454545454546,-5.93462734074172
-4.343434343434343,-2.586244641675573
-4.141414141414142,-1.5567963977897676
-3.9393939393939394,-1.0251190880357028
-3.737373737373738,-0.67796104575547
-3.5353535353535355,-0.41545808635247794
-3.333333333333333,-0.1941255059835998
-3.1313131313131315,0.01027988436613432
-2.929292929292929,0.21554782775256937
-2.7272727272727275,0.4397768768985398
-2.525252525252525,0.7083981967138452
-2.3232323232323235,1.0681969538529432
-2.121212121212121,1.6295205244243707
-1.9191919191919187,2.753217780413468
-1.717171717171718,6.782887867153455
-1.5151515151515156,-17.952575314050062
-1.3131313131313131,-3.79473717352755
-1.1111111111111107,-2.0199703317182243
-0.9090909090909101,-1.2839587934403829
-0.7070707070707076,-0.8544480189283368
-0.5050505050505052,-0.5528784998022034
-0.30303030303030276,-0.3126596445150932
-0.10101010101010033,-0.101355045589312
0.10101010101010033,0.101355045589312
0.30303030303030276,0.3126596445150932
0.5050505050505052,0.5528784998022034
0.7070707070707076,0.8544480189283368
0.9090909090909083,1.2839587934403782
1.1111111111111107,2.0199703317182243
1.3131313131313131,3.79473717352755
1.5151515151515156,17.952575314050062
1.7171717171717162,-6.782887867153539
1.9191919191919187,-2.753217780413468
2.121212121212121,-1.6295205244243707
2.3232323232323235,-1.0681969538529432
2.525252525252524,-0.7083981967138465
2.7272727272727266,-0.4397768768985409
2.929292929292929,-0.21554782775256937
3.1313131313131315,-0.01027988436613432
3.333333333333334,0.1941255059836007
3.5353535353535346,0.41545808635247694
3.737373737373737,0.6779610457554687
3.9393939393939394,1.0251190880357028
4.141414141414142,1.5567963977897676
4.3434343434343425,2.586244641675566
4.545454545454545,5.934627340741688
4.747474747474747,-28.489889553721195
4.94949494949495,-4.138190375443103
5.1515151515151505,-2.1289574836521585
5.353535353535353,-1.3398948787411844
5.555555555555555,-0.8906580297256232
5.757575757575758,-0.5800344209023894
5.9595959595959584,-0.33537769222960107
6.161616161616163,-0.12217159974626175
6.363636363636363,0.08062507673502448
6.565656565656564,0.2902318345249483
6.767676767676768,0.526333069383822
6.969696969696969,0.8194883952882468
7.171717171717173,1.230900241313403
7.373737373737374,1.9196756006783322
7.575757575757574,3.5010019755710937
7.777777777777779,13.097284364993795
7.979797979797979,-7.906109753232434
8.18181818181818,-2.9402305961881487
8.383838383838384,-1.7072870052937656
8.585858585858585,-1.113209658887891
8.787878787878789,-0.7397351519203696
8.98989898989899,-0.46453949424635266
9.19191919191919,-0.23716088584772077
9.393939393939394,-0.030848346552811268
9.595959595959595,0.17287352285586738
9.7979797979798,0.3915512690856934
10.0,0.6483608274590866
